Date(UTC),"OrderNo","Pair","Type","Side","Order Price","Order Amount","Time","Executed","Average Price","Trading total","Status"
2022-12-08 13:30:45,"64135381513","ETHBUSD","Limit","BUY","1100.0000000000","0.1046000000ETH","2023-02-04 15:34:35","0.0000000000ETH","0E-8","0.0000000000BUSD","CANCELED"
2022-11-23 13:36:10,"9489608298","DOGEBUSD","Limit","BUY","0.0700000000","300.0000000000DOGE","2022-12-28 05:40:41","300.0000000000DOGE","0.07000000","21.0000000000BUSD","FILLED"
2022-11-12 22:53:00,"213086469","ACHBTC","Limit","BUY","4.600E-7","6990.0000000000ACH","2022-12-16 22:54:18","6990.0000000000ACH","4.6E-7","0.0032154000BTC","FILLED"
2022-11-11 21:55:00,"7019453228","BTCBUSD","Limit","BUY","14100.0000000000","0.0031900000BTC","2023-02-14 10:56:58","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
2022-11-11 14:55:28,"9085968573","DOGEBUSD","Limit","BUY","0.0500000000","400.0000000000DOGE","2023-02-14 10:57:09","0.0000000000DOGE","0E-8","0.0000000000BUSD","CANCELED"
2022-11-09 22:54:30,"6967826118","BTCBUSD","Limit","BUY","9000.0000000000","0.0111200000BTC","2023-02-04 15:34:39","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
2022-11-09 22:44:08,"6967746923","BTCBUSD","Limit","BUY","12600.0000000000","0.0039700000BTC","2022-11-09 22:54:05","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
2022-11-09 21:07:49,"69662728504","BTCBUSD","Limit","BUY","16000.0000000000","0.0024300000BTC","2022-11-09 21:21:11","0.0024300000BTC","16000.00000000","38.8800000000BUSD","FILLED"
2022-11-07 12:49:51,"88495r0220","DOGEBUSD","Limit","BUY","0.1163500000","430.0000000000DOGE","2022-11-07 12:51:12","430.0000000000DOGE","0.11635000","50.0305000000BUSD","FILLED"
2022-10-29 14:32:12,"203848r33","ACHBTC","Limit","SELL","6.700E-7","1639.0000000000ACH","2022-11-10 01:46:50","1639.0000000000ACH","6.7E-7","0.0010981300BTC","FILLED"
2022-10-29 13:04:11,"20381730","ACHBTC","Limit","SELL","6.900E-7","1639.0000000000ACH","2022-10-29 14:32:00","0.0000000000ACH","0E-8","0.0000000000BTC","CANCELED"
2022-10-29 13:03:45,"2038r1706","ACHBTC","Limit","BUY","5.900E-7","1639.0000000000ACH","2022-10-29 13:03:45","1639.0000000000ACH","5.9E-7","0.0009670100BTC","FILLED"
2022-10-27 09:13:38,"67035832933","BTCBUSD","Limit","SELL","20800.0000000000","0.0038700000BTC","2022-10-27 12:42:21","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
2022-10-25 19:04:34,"6079831737","ETHBUSD","Limit","SELL","1500.1300000000","0.0580000000ETH","2022-10-25 19:05:19","0.0580000000ETH","1500.13000000","87.0075400000BUSD","FILLED"
2022-10-19 08:09:31,"65725272843","BTCBUSD","Limit","BUY","19000.0000000000","0.0038700000BTC","2022-10-20 00:48:17","0.0038700000BTC","19000.00000000","73.5300000000BUSD","FILLED"
2022-10-19 08:08:52,"60444826231","ETHBUSD","Limit","BUY","1270.0000000000","0.0580000000ETH","2022-10-21 12:11:29","0.0580000000ETH","1270.00000000","73.6600000000BUSD","FILLED"
2022-10-13 12:49:40,"60065485255","ETHBUSD","Limit","BUY","1190.0000000000","0.0421000000ETH","2022-10-22 12:36:17","0.0000000000ETH","0E-8","0.0000000000BUSD","CANCELED"
2022-10-13 12:49:10,"64863589610","BTCBUSD","Limit","BUY","18200.0000000000","0.0027500000BTC","2022-10-22 12:36:15","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
2022-10-05 09:40:48,"63783541447","BTCBUSD","Limit","BUY","9500.0000000000","0.0190100000BTC","2022-10-13 12:48:56","0.0000000000BTC","0E-8","0.0000000000BUSD","CANCELED"
